STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/22/17,,,2.79,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/23/17,,,0.45,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/24/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/25/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/26/17,,,0.15,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/27/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/28/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/29/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/30/17,,,0,,,,,,,,,,,,,,,,
US1GADK0028,"ATLANTA 3.5 ENE, GA US",1/31/17,,,0,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/1/17,,,0.33,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/2/17,,,0.66,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/3/17,,,2.01,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/4/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/5/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/6/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/7/17,,,0.68,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/8/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/9/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/10/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/11/17,,,0,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/12/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/13/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/14/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/15/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/16/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/17/17,,,0,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/18/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/19/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/20/17,,,0.47,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/21/17,,,0.02,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/22/17,,,2.88,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/23/17,,,0.52,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/24/17,,,0,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/25/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/26/17,,,0.09,,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/27/17,,,0,0,,,,,,,,,,,,,,,
US1GADK0007,"NORTH DECATUR 3.0 NNE, GA US",1/28/17,,,0,0,,,,,,,,,,,,,,,
